FASB157,Net Asset Value,Price Confirm,Asset Liability,Portfolio,Portfolio Name,Value Date,Investment Currency, Quantity , Account Type , Finance Account , FX Rate , Market Price , Book Market Price ,Price Date,Price Source,PM Price Source, Unit Cost , Local Cost , Book Cost Not , Local Mkt Value , Book Mkt Value , Local Cost Not , Book Curr Not , Local Curr Not , Book Unit Cost , Book Accrued Interest , Local Accrued Interest ,Strategy,Custodian Code,Custodian Account,Legal Entity,Investment,Security Description,Base Currency,IG NonIG,Custodian Name,Report Group Name,Source,Last Updated By,Last Updated Date,Top Level SecType,Mid Level SecType,Third Level SecType,FASB157
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"7,146.00",, N.A. ,1,29.44,29.44,12/29/2017,Bloomberg,,,,102600,102600,102600,102600,,,25.35, -   , -   ,,MORGAN STANLEY,,,Position 1026,Position 1026,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-174,694.00",, N.A. ,1,1,1,12/31/2017,Bloomberg,,,,102700,102700,102700,102700,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1027,Position 1027,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,3,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,102800,102800,102800,102800,,,1, -   , -   ,,CITI HCO_,,,Position 1028,Position 1028,USD,Indeterminate,Citi HCo_,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,EUR       ,"-264,384.00",, N.A. ,1.2,1,1.2,12/31/2017,Bloomberg,,,,102900,102900,102900,102900,,,1.18, -   , -   ,,MORGAN STANLEY,,,Position 1029,Position 1029,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-28,872.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,103000,103000,103000,103000,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1030,Position 1030,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"2,278.00",, Other Receivable ,1,1,1,12/29/2017,Bloomberg,,,,103100,103100,103100,103100,,,1, -   , -   ,,OTHER,,,Position 1031,Position 1031,USD,Indeterminate,Other,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"10,580.00",, N.A. ,1,85.54,85.54,12/29/2017,Bloomberg,,,,103200,103200,103200,103200,,,63.23, -   , -   ,,CITIGROUP,,,Position 1032,Position 1032,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,CAD       ,-50.00,, N.A. ,0.8,0.51,0.41,12/29/2017,Bloomberg,,,,103300,103300,103300,103300,,,316.58, -   , -   ,,CREDIT SUISSE,,,Position 1033,Position 1033,USD,Indeterminate,Credit Suisse,,,,43109.30903,Derivative Contracts,Equity Warrant,Equity Warrant,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-337.00,, N.A. ,1,82.5,82.5,12/29/2017,Bloomberg,,,,103400,103400,103400,103400,,,82.17, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1034,Position 1034,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-348.00,, N.A. ,1,67.72,67.72,12/29/2017,Bloomberg,,,,103500,103500,103500,103500,,,69.85, -   , -   ,,MORGAN STANLEY,,,Position 1035,Position 1035,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"10,539.00",, N.A. ,1,1,1,12/31/2017,Bloomberg,,,,103600,103600,103600,103600,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1036,Position 1036,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-9,345.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,103700,103700,103700,103700,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1037,Position 1037,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,SEK       ,"-4,777.00",, N.A. ,0.12,169.3,20.64,12/29/2017,Bloomberg,,,,103800,103800,103800,103800,,,24.96, -   , -   ,,MORGAN STANLEY,,,Position 1038,Position 1038,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"3,228.00",, N.A. ,1,3.93,3.93,12/29/2017,Bloomberg,,,,103900,103900,103900,103900,,,3.57, -   , -   ,,CITIGROUP,,,Position 1039,Position 1039,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,CAD       ,287.00,, N.A. ,0.8,762.02,605.88,12/29/2017,Bloomberg,,,,104000,104000,104000,104000,,,407.64, -   , -   ,,CREDIT SUISSE,,,Position 1040,Position 1040,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-596.00,, Accrued Admin Fee Payable ,1,1,1,12/29/2017,Bloomberg,,,,104100,104100,104100,104100,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1041,Position 1041,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"2,727.00",, N.A. ,1,122.28,122.28,12/29/2017,Bloomberg,,,,104200,104200,104200,104200,,,55.8, -   , -   ,,CITIGROUP,,,Position 1042,Position 1042,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 2,12/31/2017,USD       ,"12,500.00",, N.A. ,1,3.71,3.71,12/29/2017,Bloomberg,,,,104300,104300,104300,104300,,,2.83, -   , -   ,,OTHER,,,Position 1043,Position 1043,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,EUR       ,0,, Cash ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,104400,104400,104400,104400,,,1.07, -   , -   ,,_MS FUTURES,,,Position 1044,Position 1044,USD,Indeterminate,_MS FUTURES,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-9,496.00",, N.A. ,1,16.14,16.14,12/29/2017,Bloomberg,,,,104500,104500,104500,104500,,,23.31, -   , -   ,,CITIGROUP,,,Position 1045,Position 1045,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,36.00,, DividendsReceivable ,1,1,1,12/29/2017,Bloomberg,,,,104600,104600,104600,104600,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1046,Position 1046,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-392.00,, N.A. ,1,36.02,36.02,12/29/2017,Bloomberg,,,,104700,104700,104700,104700,,,32.46, -   , -   ,,MORGAN STANLEY,,,Position 1047,Position 1047,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,964.00,, N.A. ,1,73.55,73.55,12/29/2017,Bloomberg,,,,104800,104800,104800,104800,,,74.91, -   , -   ,,CREDIT SUISSE,,,Position 1048,Position 1048,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-742.00,, N.A. ,1,0,0,12/29/2017,Bloomberg,,,,104900,104900,104900,104900,,,14.1, -   , -   ,,MORGAN STANLEY,,,Position 1049,Position 1049,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-6,995.00",, N.A. ,1,24.42,24.42,12/29/2017,Bloomberg,,,,105000,105000,105000,105000,,,23.19, -   , -   ,,MORGAN STANLEY,,,Position 1050,Position 1050,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,729,819.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,105100,105100,105100,105100,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1051,Position 1051,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 2,12/31/2017,USD       ,986.00,, N.A. ,1,0.77,0.77,12/29/2017,Bloomberg,,,,105200,105200,105200,105200,,,0.76, -   , -   ,,OTHER,,,Position 1052,Position 1052,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-499.00,, N.A. ,1,72.83,72.83,12/29/2017,Bloomberg,,,,105300,105300,105300,105300,,,82.98, -   , -   ,,STATE STREET,,,Position 1053,Position 1053,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-618.00,, N.A. ,1,67.98,67.98,12/29/2017,Bloomberg,,,,105400,105400,105400,105400,,,72.47, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1054,Position 1054,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-69,816.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,105500,105500,105500,105500,,,1, -   , -   ,,CREDIT SUISSE,,,Position 1055,Position 1055,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-244.00,, N.A. ,1,138.78,138.78,12/29/2017,Bloomberg,,,,105600,105600,105600,105600,,,140.29, -   , -   ,,CITIGROUP,,,Position 1056,Position 1056,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"47,236.00",, SpotFxReceivable ,1,1,1,12/29/2017,Bloomberg,,,,105700,105700,105700,105700,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1057,Position 1057,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Not Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-552.00,, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,105800,105800,105800,105800,,,10.36, -   , -   ,,CITIGROUP,,,Position 1058,Position 1058,USD,Indeterminate,CitiGroup,,,,43109.34792,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-293.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,105900,105900,105900,105900,,,1, -   , -   ,,CITIGROUP,,,Position 1059,Position 1059,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"2,726.00",, N.A. ,1,73.55,73.55,12/29/2017,Bloomberg,,,,106000,106000,106000,106000,,,71.8, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1060,Position 1060,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,336.00",, N.A. ,1,76.46,76.46,12/29/2017,Bloomberg,,,,106100,106100,106100,106100,,,70.82, -   , -   ,,MORGAN STANLEY,,,Position 1061,Position 1061,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,AUD       ,0,, Cash ,0.78,0.78,0.78,12/29/2017,Bloomberg,,,,106200,106200,106200,106200,,,1.02, -   , -   ,,CREDIT SUISSE,,,Position 1062,Position 1062,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,433.00",, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,106300,106300,106300,106300,,,1, -   , -   ,,CREDIT SUISSE,,,Position 1063,Position 1063,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-807.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,106400,106400,106400,106400,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1064,Position 1064,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-4,446.00",, N.A. ,1,37.74,37.74,12/29/2017,Bloomberg,,,,106500,106500,106500,106500,,,34.94, -   , -   ,,CREDIT SUISSE,,,Position 1065,Position 1065,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"55,089.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,106600,106600,106600,106600,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1066,Position 1066,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-7,974.00",, N.A. ,1,36.02,36.02,12/29/2017,Bloomberg,,,,106700,106700,106700,106700,,,34.21, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1067,Position 1067,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"5,753.00",, N.A. ,1,57.55,57.55,12/29/2017,Bloomberg,,,,106800,106800,106800,106800,,,30.13, -   , -   ,,CITIGROUP,,,Position 1068,Position 1068,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-17.00,, N.A. ,1,0.49,0.49,12/29/2017,Bloomberg,,,,106900,106900,106900,106900,,,0.6, -   , -   ,,MORGAN STANLEY,,,Position 1069,Position 1069,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Derivative Contracts,Listed Equity Option,Listed Equity Option,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,287.00,, DividendsReceivable ,1,1,1,12/29/2017,Bloomberg,,,,107000,107000,107000,107000,,,1, -   , -   ,,CREDIT SUISSE,,,Position 1070,Position 1070,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"5,149.00",, N.A. ,1,55.01,55.01,12/29/2017,Bloomberg,,,,107100,107100,107100,107100,,,52.98, -   , -   ,,CITIGROUP,,,Position 1071,Position 1071,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-42.00,, N.A. ,1,0.85,0.85,12/29/2017,Bloomberg,,,,107200,107200,107200,107200,,,"1,212.28", -   , -   ,,MORGAN STANLEY,,,Position 1072,Position 1072,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-980.00,, N.A. ,1,186.12,186.12,12/29/2017,Bloomberg,,,,107300,107300,107300,107300,,,155.01, -   , -   ,,MORGAN STANLEY,,,Position 1073,Position 1073,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 2,12/31/2017,USD       ,351.00,, N.A. ,1,14.12,14.12,12/29/2017,Bloomberg,,,,107400,107400,107400,107400,,,10.05, -   , -   ,,OTHER,,,Position 1074,Position 1074,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,714.00",, Stock Loan Payable ,1,1,1,12/29/2017,Bloomberg,,,,107500,107500,107500,107500,,,1, -   , -   ,,CREDIT SUISSE,,,Position 1075,Position 1075,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,EUR       ,-34.00,, N.A. ,1.2,111.98,134.4,12/29/2017,Bloomberg,,,,107600,107600,107600,107600,,,112.16, -   , -   ,,CITIGROUP,,,Position 1076,Position 1076,USD,Indeterminate,CitiGroup,,,,43109.30972,Derivative Contracts,Bond Futures,Bond Future,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,898.00",, N.A. ,1,208.26,208.26,12/29/2017,Bloomberg,,,,107700,107700,107700,107700,,,165.91, -   , -   ,,MORGAN STANLEY,,,Position 1077,Position 1077,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-1,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,107800,107800,107800,107800,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1078,Position 1078,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,911.00,, N.A. ,1,130.39,130.39,12/29/2017,Bloomberg,,,,107900,107900,107900,107900,,,108.78, -   , -   ,,CITIGROUP,,,Position 1079,Position 1079,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-815.00,, N.A. ,1,105.22,105.22,12/29/2017,Bloomberg,,,,108000,108000,108000,108000,,,109.47, -   , -   ,,CITIGROUP,,,Position 1080,Position 1080,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-1,319.00",, N.A. ,1,102.23,102.23,12/29/2017,Bloomberg,,,,108100,108100,108100,108100,,,85.91, -   , -   ,,CITIGROUP,,,Position 1081,Position 1081,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-1,, N.A. ,1,4.71,4.71,12/29/2017,Bloomberg,,,,108200,108200,108200,108200,,,"2,279.55", -   , -   ,,CITIGROUP,,,Position 1082,Position 1082,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-280,757.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,108300,108300,108300,108300,,,1, -   , -   ,,CREDIT SUISSE,,,Position 1083,Position 1083,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,214.00",, N.A. ,1,169.23,169.23,12/29/2017,Bloomberg,,,,108400,108400,108400,108400,,,175.62, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1084,Position 1084,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,572.00,, N.A. ,1,188.96,188.96,12/29/2017,Bloomberg,,,,108500,108500,108500,108500,,,187.52, -   , -   ,,CITIGROUP,,,Position 1085,Position 1085,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,956.00",, N.A. ,1,73.62,73.62,12/29/2017,Bloomberg,,,,108600,108600,108600,108600,,,73.36, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1086,Position 1086,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,293.00,, N.A. ,1,192.43,192.43,12/29/2017,Bloomberg,,,,108700,108700,108700,108700,,,164.04, -   , -   ,,CITIGROUP,,,Position 1087,Position 1087,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-390.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,108800,108800,108800,108800,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1088,Position 1088,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"1,931.00",, Other Receivable ,1,1,1,12/29/2017,Bloomberg,,,,108900,108900,108900,108900,,,1, -   , -   ,,OTHER,,,Position 1089,Position 1089,USD,Indeterminate,Other,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-3,787.00",, N.A. ,1,59,59,12/29/2017,Bloomberg,,,,109000,109000,109000,109000,,,58.39, -   , -   ,,CITIGROUP,,,Position 1090,Position 1090,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"-132,673.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,109100,109100,109100,109100,,,1, -   , -   ,,CITIGROUP,,,Position 1091,Position 1091,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-812.00,, N.A. ,1,107.51,107.51,12/29/2017,Bloomberg,,,,109200,109200,109200,109200,,,104.33, -   , -   ,,_WELLS_FARGO_CASH,,,Position 1092,Position 1092,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,"175,528.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,109300,109300,109300,109300,,,1, -   , -   ,,CITIGROUP,,,Position 1093,Position 1093,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,-27.00,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,109400,109400,109400,109400,,,1, -   , -   ,,MORGAN STANLEY,,,Position 1094,Position 1094,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 2,12/31/2017,USD       ,296.00,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,109500,109500,109500,109500,,,1, -   , -   ,,_CITIBANK SFSST,,,Position 1095,Position 1095,USD,Indeterminate,_Citibank SFSST,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
